country,year_end,year_start,gdp_end,gdp_start,delta
AUS,2000,1990,537613.644,303536.564,234077.07999999996
AUT,2000,1990,235450.19,149145.39,86304.79999999999
BEL,2000,1990,284950.464,185820.84399999998,99129.62
CAN,2000,1990,901029.605,560000.309,341029.296
CZE,2000,1990,166568.303,131987.38199999998,34580.92100000003
DNK,2000,1990,153089.947,93563.362,59526.58499999999
FIN,2000,1990,138703.58,90265.862,48437.71799999999
FRA,2000,1990,1589936.939,1025467.267,564469.672
DEU,2000,1990,2237046.164,1542270.904,694775.2599999998
GRC,2000,1990,210979.958,135408.09699999998,75571.86100000003
ISL,2000,1990,8377.671999999999,5588.920999999999,2788.7509999999993
IRL,2000,1990,114987.727,48176.258,66811.469
ITA,2000,1990,1542231.344,1054559.203,487672.14100000006
JPN,2000,1990,3460607.15,2416532.1890000002,1044074.9609999997
KOR,2000,1990,871501.0909999999,358069.11100000003,513431.97999999986
LUX,2000,1990,24155.879,11317.649,12838.230000000001
MEX,2000,1990,1096780.846,626331.703,470449.1429999999
NLD,2000,1990,507779.885,286003.92600000004,221775.95899999997
NZL,2000,1990,82996.391,49504.4,33491.991
NOR,2000,1990,165952.701,78112.922,87839.779
POL,2000,1990,408478.391,235410.575,173067.816
PRT,2000,1990,194323.46399999998,117317.653,77005.81099999997
ESP,2000,1990,876008.108,530638.339,345369.769
SWE,2000,1990,262890.9,174392.55,88498.35000000003
CHE,2000,1990,264299.17100000003,190833.753,73465.41800000003
TUR,2000,1990,609198.924,455936.304,153262.62
GBR,2000,1990,1556000.7880000002,972727.3309999999,583273.4570000003
USA,2000,1990,10250952.0,5963144.0,4287808.0
CHL,2000,1990,146574.19199999998,62412.32,84161.87199999997
CHN,2000,1990,3687630.0360000003,1115322.092,2572307.944
COL,2000,1990,262804.16,165700.635,97103.52499999997
IND,2000,1990,2184672.996,1035392.411,1149280.585
ISR,2000,1990,156919.011,70782.713,86136.298
SVN,2000,1990,35818.652,24676.972999999998,11141.679000000004
ZAF,2000,1990,346921.74700000003,236292.03100000002,110629.71600000001
OECD,2000,1990,29631166.906999998,18320590.325999998,11310576.581
SAU,2000,1990,824128.2640000001,520904.93200000003,303223.33200000005
HKG,2000,1990,188307.603,104222.692,84084.91100000001
SGP,2000,1990,176680.943,72681.214,103999.72899999999
